player,LIV_Player,year_month,year,answer_length,PGA,LIV,relevant,question,reply_sentence,LIV_CHANGE
rory mcilroy,0,2024-02,2024,111,1,0,1,third start this season had a chance to play pebble and genesis can you share where you game is and what are you looking forward to this week,yeah so third start on the pga tour i had two events in the middle east and played well in dubai i feel like pebble the weather disrupted it and the courses were super soft won the pro am portion so i guess it wasn't all bad and then riv was pretty good i made a mess of and on the first day but apart from that i felt like i played some pretty good golf feel like my game is in pretty good shape you know it's nice to stay at home this week and feel a little more i guess relaxed in the surroundings looking forward to getting started,0
rory mcilroy,0,2024-02,2024,7,0,1,1,he started by saying there is a good chance you would go to liv it was is there a percentage that,somewhere in the middle maybe who knows,0
rory mcilroy,0,2024-01,2024,6,0,1,1,but do you think that it's also reflective of your attitude in this debate the fact that there say feeling that bbc you've got to be really good investigator to find live golf these days,just buy sky sports i guess,0
rory mcilroy,0,2024-01,2024,129,1,0,1,i can't help asking about asia this year probably the dp world tour has one much its strongest asian swings with some of the elite golfers there from the dp world tour or maybe even the pga coming there would help the sport in that part of the world which is obviously the most populated,absolutely i spoke to dr munjal on the course about it today you know if this global tour somehow comes to fruition in the next few years could you imagine bringing the best or golfers in the world to india for a tournament or you know that that would change i think would change the game and the perception of the game in a country like that so again there's so much opportunity out there to go global with it and i've said this for the last few months but golf is at an inflection point and if golf doesn't do it now i fear that it will never do it and we'll sort of have this fractured landscape forever as i said i hope it all works out,0
rory mcilroy,0,2024-01,2024,146,0,1,1,you have that wonderful privilege of going back to golf courses you've won on quite a lot in your career a testament to what you have won does this one have a any extra significance because it was the start of the journey,yeah it was obviously the first win of my professional career but i first played this event as an amateur in so i've been coming here for years i can't even believe it but dubai has meant a lot to me over my career i got my first win here i feel like it's a tournament to give me one of my first opportunities to play on this tour my first sponsor was from here jumeirah so i have a lot of great memories and i have a lot of great friends in this region i lived here for four years as well there's a big piece of my life has been spent here in dubai and i'm always excited to get back i don't spend as much time here as i used to it's always exciting to come back and spend a couple of weeks,0
rory mcilroy,0,2024-01,2024,155,1,0,1,you've talked openly about your quest for more major championships decorated across regular events dp world tour on the pga tour do regular events still quench your thirst or do you desire so greatly majors,they still quench my thirst there would be no reason to tee up in these events if they didn't winning is winning and competing is competing and it doesn't matter whether it's the dubai desert classic over here or whether it's the honda classic or whatever it is i love competing i love to try to win golf tournaments and you know majors are really really important in this game but it's not the only thing that matters in my mind and there are other things but look the majors are important and i would love to get my hands on another one and i think mostly because i have done everything else there is to do in the game since i last won a major championship so to me it's like the last step on this journey that i've been on this last few years is just getting my hands on another major trophy,0
rory mcilroy,0,2024-01,2024,159,1,1,1,last week mcilroy fleetwood huge numbers across the global player in terms of viewership attention clearly on the dp world tour here last year a showdown where you got up on patrick reed to win here again at the hero dubai desert classic where world golf is competing for attention right now we know there's the effort for liv golf the pif to be a part of it in the future going forward with the dp world tour and the pga tour is there a continue for you at all where this tournament might sit if there is a triumvirate at the top of it all,so not particularly because i think the way i view it is a bit like champions league in football it's like the best of the best in europe and then all of the other leagues feed up into it all these players and there are there's lots of different tours getting interest and a lot of great players but if you want to create something that is real value for the game of golf i think it's this top level tour and then all the other tours feed into it that's my and there's promotion and relegation and you have to earn your way in and you have to earn your spot to stay in as well i think that's really important too i think it has to be global in nature and to me you need to figure out a structure where all these other tours feed into that so it gives people a chance to come up,0
rory mcilroy,0,2024-01,2024,244,0,1,1,since we last spoke jon rahm has joined liv the talks have been extended to april to try to resolve the fractures in our game you were saying yesterday your dream scenario is if tournament world tour with a truly global schedule tell us which tournaments you think should be involved in that,i think informally we sort of have most of that global schedule anyway if you look at what all the tournaments that all the top players play informally sort of without any structure without it between a few different tours i think we have at least the majority of what a global tour would look like we still need to make sure that the biggest tournaments are in america obviously that's the biggest place that we play but also trying to elevate some of the other tournaments around the world you know trying to middle east continental europe u k and ireland the far east whether it be japan korea singapore hong kong australia south africa i mean you've got a lot of different opportunities there i think if we really want to if everyone is talking about growing the game and trying to especially if these investors are going to come into our game and they want a return on their capital i think everyone needs to start thinking more globally around it but globally in a holistic way but not really like this tour that tour and another tour like okay what is the best what is the best structure for elite professional golf the top to guys in the world and what would that look like especially if the game is going to look different going forward and everything is on the table i just think it's worth having that conversation,0
rory mcilroy,0,2024-01,2024,119,1,0,1,you said with the proviso in mind that corporate america must be involved why is that so important to you,because they have the most money basically you know they have proved over the last the pga tour has proved over the last or years that corporate america is interested in the game of golf for a number of different reasons and america is still a huge market for our game because america has become such a huge market it's maybe not let other markets around the world thrive as well and if we can sort of all start to work together a little bit more i think a rising tide lists all ships or all boats and that's the mindset that i would i guess come to that thinking of what the best thing is for professional golf,0
rory mcilroy,0,2023-11,2023,113,1,0,1,you made the decision to resign from the pga tour policy board can you give us your thinking behind that decision,yeah i just think i've got a lot going on in my life between my golf game my family and my growing investment portfolio my involvement in tgl and i just felt like something had to give i just didn't feel like i could commit the time and the energy into doing that i don't mind being busy but i just like being busy doing my own stuff something had to give and there's guys that are on that board that are spending a lot more time and a lot more energy on it than i am it's in good hands and i felt like it was the right time to step off,0
